  1000    29.61    15.44    14.17 [     0   10   23 ]
  2000    29.95    15.20    14.75 [     0   23   83 ]
  3000    30.83    15.30    15.53 [     0   65   83 ]
  4000    30.83    15.30    15.53 [     0   65   83 ]
  5000    30.83    15.30    15.53 [     0   65   83 ]
  6000    30.83    15.30    15.53 [     0   65   83 ]
  7000    30.83    15.30    15.53 [     0   65   83 ]
  8000    30.83    15.30    15.53 [     0   65   83 ]
  9000    30.83    15.30    15.53 [     0   65   83 ]
 10000    30.83    15.30    15.53 [     0   65   83 ]
  1000    29.52    15.14    14.38 [     0   19   56 ]
  2000    30.72    15.96    14.76 [     0    1   32 ]
  3000    30.72    15.96    14.76 [     0    1   32 ]
  4000    30.72    15.96    14.76 [     0    1   32 ]
  5000    30.79    16.58    14.21 [     0    1   83 ]
  6000    30.79    16.58    14.21 [     0    1   83 ]
  7000    30.83    15.30    15.53 [     0   65   83 ]
  8000    30.83    15.30    15.53 [     0   65   83 ]
  9000    30.83    15.30    15.53 [     0   65   83 ]
 10000    30.83    15.30    15.53 [     0   65   83 ]
  1000    30.83    15.30    15.53 [     0   65   83 ]
  2000    30.83    15.30    15.53 [     0   65   83 ]
  3000    30.83    15.30    15.53 [     0   65   83 ]
  4000    30.83    15.30    15.53 [     0   65   83 ]
  5000    30.83    15.30    15.53 [     0   65   83 ]
  6000    30.83    15.30    15.53 [     0   65   83 ]
  7000    30.83    15.30    15.53 [     0   65   83 ]
  8000    30.83    15.30    15.53 [     0   65   83 ]
  9000    30.83    15.30    15.53 [     0   65   83 ]
 10000    30.83    15.30    15.53 [     0   65   83 ]
  1000    30.22    14.45    15.77 [     0   32   87 ]
  2000    30.29    15.07    15.23 [     0   83   87 ]
  3000    30.29    15.07    15.23 [     0   83   87 ]
  4000    30.79    16.58    14.21 [     0    1   83 ]
  5000    30.79    16.58    14.21 [     0    1   83 ]
  6000    30.79    16.58    14.21 [     0    1   83 ]
  7000    30.79    16.58    14.21 [     0    1   83 ]
  8000    30.79    16.58    14.21 [     0    1   83 ]
  9000    30.83    15.30    15.53 [     0   65   83 ]
 10000    30.83    15.30    15.53 [     0   65   83 ]
  1000    30.50    15.54    14.96 [     0   10   65 ]
  2000    30.50    15.54    14.96 [     0   10   65 ]
  3000    30.83    15.30    15.53 [     0   65   83 ]
  4000    30.83    15.30    15.53 [     0   65   83 ]
  5000    30.83    15.30    15.53 [     0   65   83 ]
  6000    30.83    15.30    15.53 [     0   65   83 ]
  7000    30.83    15.30    15.53 [     0   65   83 ]
  8000    30.83    15.30    15.53 [     0   65   83 ]
  9000    30.83    15.30    15.53 [     0   65   83 ]
 10000    30.83    15.30    15.53 [     0   65   83 ]
  1000    30.15    14.83    15.32 [     0   19   83 ]
  2000    30.79    16.58    14.21 [     0    1   83 ]
  3000    30.79    16.58    14.21 [     0    1   83 ]
  4000    30.79    16.58    14.21 [     0    1   83 ]
  5000    30.83    15.30    15.53 [     0   65   83 ]
  6000    30.83    15.30    15.53 [     0   65   83 ]
  7000    30.83    15.30    15.53 [     0   65   83 ]
  8000    30.83    15.30    15.53 [     0   65   83 ]
  9000    30.83    15.30    15.53 [     0   65   83 ]
 10000    30.83    15.30    15.53 [     0   65   83 ]
  1000    30.21    15.61    14.60 [     0   56   65 ]
  2000    30.46    16.82    13.64 [     0    1   10 ]
  3000    30.46    16.82    13.64 [     0    1   10 ]
  4000    30.50    15.54    14.96 [     0   10   65 ]
  5000    30.76    14.68    16.08 [     0   32   65 ]
  6000    30.83    15.30    15.53 [     0   65   83 ]
  7000    30.83    15.30    15.53 [     0   65   83 ]
  8000    30.83    15.30    15.53 [     0   65   83 ]
  9000    30.83    15.30    15.53 [     0   65   83 ]
 10000    30.83    15.30    15.53 [     0   65   83 ]
  1000    28.91    15.23    13.68 [     0   34   51 ]
  2000    30.83    15.30    15.53 [     0   65   83 ]
  3000    30.83    15.30    15.53 [     0   65   83 ]
  4000    30.83    15.30    15.53 [     0   65   83 ]
  5000    30.83    15.30    15.53 [     0   65   83 ]
  6000    30.83    15.30    15.53 [     0   65   83 ]
  7000    30.83    15.30    15.53 [     0   65   83 ]
  8000    30.83    15.30    15.53 [     0   65   83 ]
  9000    30.83    15.30    15.53 [     0   65   83 ]
 10000    30.83    15.30    15.53 [     0   65   83 ]
  1000    28.95    15.31    13.65 [     0   10   79 ]
  2000    29.54    14.68    14.86 [     0   32   51 ]
  3000    30.76    14.68    16.08 [     0   32   65 ]
  4000    30.83    15.30    15.53 [     0   65   83 ]
  5000    30.83    15.30    15.53 [     0   65   83 ]
  6000    30.83    15.30    15.53 [     0   65   83 ]
  7000    30.83    15.30    15.53 [     0   65   83 ]
  8000    30.83    15.30    15.53 [     0   65   83 ]
  9000    30.83    15.30    15.53 [     0   65   83 ]
 10000    30.83    15.30    15.53 [     0   65   83 ]
  1000    30.76    14.68    16.08 [     0   32   65 ]
  2000    30.83    15.30    15.53 [     0   65   83 ]
  3000    30.83    15.30    15.53 [     0   65   83 ]
  4000    30.83    15.30    15.53 [     0   65   83 ]
  5000    30.83    15.30    15.53 [     0   65   83 ]
  6000    30.83    15.30    15.53 [     0   65   83 ]
  7000    30.83    15.30    15.53 [     0   65   83 ]
  8000    30.83    15.30    15.53 [     0   65   83 ]
  9000    30.83    15.30    15.53 [     0   65   83 ]
 10000    30.83    15.30    15.53 [     0   65   83 ]
  1000    30.83    15.30    15.53 [     0   65   83 ]
  2000    30.83    15.30    15.53 [     0   65   83 ]
  3000    30.83    15.30    15.53 [     0   65   83 ]
  4000    30.83    15.30    15.53 [     0   65   83 ]
  5000    30.83    15.30    15.53 [     0   65   83 ]
  6000    30.83    15.30    15.53 [     0   65   83 ]
  7000    30.83    15.30    15.53 [     0   65   83 ]
  8000    30.83    15.30    15.53 [     0   65   83 ]
  9000    30.83    15.30    15.53 [     0   65   83 ]
 10000    30.83    15.30    15.53 [     0   65   83 ]
  1000    30.76    14.68    16.08 [     0   32   65 ]
  2000    30.83    15.30    15.53 [     0   65   83 ]
  3000    30.83    15.30    15.53 [     0   65   83 ]
  4000    30.83    15.30    15.53 [     0   65   83 ]
  5000    30.83    15.30    15.53 [     0   65   83 ]
  6000    30.83    15.30    15.53 [     0   65   83 ]
  7000    30.83    15.30    15.53 [     0   65   83 ]
  8000    30.83    15.30    15.53 [     0   65   83 ]
  9000    30.83    15.30    15.53 [     0   65   83 ]
 10000    30.83    15.30    15.53 [     0   65   83 ]
  1000    29.87    14.58    15.29 [     0   23   32 ]
  2000    30.79    16.58    14.21 [     0    1   83 ]
  3000    30.79    16.58    14.21 [     0    1   83 ]
  4000    30.79    16.58    14.21 [     0    1   83 ]
  5000    30.79    16.58    14.21 [     0    1   83 ]
  6000    30.79    16.58    14.21 [     0    1   83 ]
  7000    30.79    16.58    14.21 [     0    1   83 ]
  8000    30.83    15.30    15.53 [     0   65   83 ]
  9000    30.83    15.30    15.53 [     0   65   83 ]
